機能ID,機能名,説明,関連UC ID
F-RM-01,レシート画像アップロード・撮影,ユーザーがレシート画像をアップロードまたは撮影して取り込む,['UC-RM-01']
F-RM-02,レシート手動登録,画像を使用せずに手動でレシート情報と支出を登録する,['UC-RM-02']
F-RM-03,レシート詳細表示,登録済みレシートの詳細（支出一覧含む）を確認する,['UC-RM-03']
F-RM-04,レシート削除,不要なレシートと関連支出を削除する,['UC-RM-04']
F-RM-05,レシート編集・画像差し替え,店舗や支払方法、支出内容を修正し、必要に応じて画像も差し替える,['UC-RM-05']
F-RM-06,レシート一覧・フィルタ表示,日付やカテゴリなどでレシートを検索・表示する,['UC-RM-06']
F-RM-07,読取ステータス表示,レシート処理状態（読取中／失敗／不一致など）を表示する,['UC-RM-07']
F-SP-01,支出項目手動登録,商品・金額・カテゴリ等を手動で登録する,['UC-SP-01']
F-SP-02,支出詳細表示,支出の詳細を確認する（割り勘ルール含む）,['UC-SP-02']
F-SP-03,支出項目編集,登録済み支出を編集する,['UC-SP-03']
F-SP-04,支出項目削除,不要な支出を削除する,['UC-SP-04']
F-SP-05,支出とレシートの手動紐づけ／解除,既存支出をレシートに関連付け・解除する,"['UC-SP-05', 'UC-RM-02', 'UC-RM-05']"
F-SP-06,支出一覧・フィルタ表示,支出項目を条件で絞り込み表示する,['UC-SP-06']
F-SR-01,割り勘ルール作成,比率または金額ベースでルールを作成する,['UC-SR-01']
F-SR-02,割り勘ルール適用,複数支出やレシート単位でルールを適用する,['UC-SR-02']
F-SR-03,割り勘ルール編集,既存ルールを編集して再計算を反映する,['UC-SR-03']
F-SR-04,割り勘ルール削除,既存ルールを削除する,['UC-SR-04']
F-SR-05,貸し借り一覧表示,自分の借り／貸し状態を一覧で確認する,['UC-SR-05']
F-SR-06,清算入力,貸し借り情報に対して実際の清算を入力する,['UC-SR-06']
F-SR-07,デフォルト割り勘ルール設定,カテゴリやプロジェクト単位での初期割り勘比率を設定する,['UC-SR-07']
F-PJ-01,プロジェクト作成,支出管理単位となるプロジェクトを新規作成する,['UC-PJ-01']
F-PJ-02,ユーザー招待,プロジェクトに他のユーザーを招待・追加する,['UC-PJ-02']
F-PJ-03,プロジェクト削除,プロジェクト全体を削除する,['UC-PJ-03']
F-NT-01,レシート読取完了通知,OCR処理完了時に通知を受け取る,['UC-NT-01']
F-NT-02,清算通知,他者による清算記録を通知する,['UC-NT-02']
F-NT-03,通知一覧表示,通知を一覧で確認・既読処理する,['UC-NT-03']
F-EX-01,データエクスポート,支出・清算データをCSVまたはPDFで出力する,['UC-EX-01']
