画面ID,画面名,表示項目,対応UC ID,補足
SC-001,プロジェクト一覧画面,プロジェクト名、貸し借り残高、参加メンバー、プロジェクト作成ボタン,"UC-PJ-01, UC-PJ-02",画面右下に新規プロジェクト作成＋レシート追加ホバーボタンあり。全画面共通ホバーボタン
SC-002,プロジェクト詳細（概要）画面,プロジェクト名、貸し借り一覧、合計残高、支出合計、参加メンバー、通知一覧リンク、設定ボタン,"UC-PJ-01, UC-SR-01",各貸し借りデータクリックで清算入力モーダル表示、一括清算は別ボタン
SC-003,レシート一覧画面,店舗、日時、カテゴリ、税込合計金額、割り勘分担ステータスアイコン、フィルタ（期間、カテゴリ、店舗、金額帯）、並び順切替（日時降順、金額降順）、レシート登録ボタン,"UC-RM-02, UC-RM-01",複数選択による一括削除／編集対応。レシート登録ボタンは全画面共通の右下ホバーボタン
SC-004,レシート詳細画面,レシート画像、店舗、日付、時間、支払方法、税抜合計金額、税込合計金額、税額、登録日時、読取ステータス、支出項目一覧（商品名、支払額、カテゴリ、単価、数量、税込、割引、割引理由、割り勘分担、メモ）,"UC-RM-03, UC-RM-06",読取ステータスに応じて✅/🛠️/🔄/❌/⚠️を表示。各支出項目はクリックでモーダル編集可能
SC-005,レシート登録画面（画像／撮影）,画像選択／カメラ撮影の分岐選択、画像プレビュー、OCR進行状況表示、読取結果確認ボタン,UC-RM-01,登録モーダル内で処理。画像読取完了後、確認画面へ遷移
SC-006,レシート登録画面（手動）,店舗、日付、時刻、支払方法、税抜合計金額、税込合計金額、税額、支出項目追加フォーム（繰り返し可能）,UC-RM-05,OCR失敗時や手動入力選択時に表示。支出項目は都度追加でき、モーダルで編集
SC-007,レシート削除確認ダイアログ,「関連する支出項目も削除しますか？」確認メッセージ、チェックボックス、削除実行／キャンセルボタン,UC-RM-04,一覧画面や詳細画面から削除時に表示。支出項目を残す／消すの選択が可能
SC-008,支出項目一覧画面,商品名、支払者（複数可）、支払額、カテゴリ、店舗、購入日、割り勘分担（比率または金額）、レシート紐づけアイコン、フィルタ（支払者、カテゴリ、店舗、金額帯、期間、清算状態、登録種別、レシート紐づけ）、並び替え,UC-SP-06,複数選択による一括編集・削除、各項目クリックでモーダル編集、レシート紐づけアイコンは🧾表示
SC-009,支出項目詳細画面,商品名、支払者（複数可）、支払額、カテゴリ、単価、数量、税抜、税込、割引、割引理由、店舗、日付、時間、支払方法、割り勘分担、メモ、登録レシート、登録種別,UC-SP-02,各項目は編集可能、支払者・金額などは分割入力欄として表示
SC-010,支出項目登録画面（手動）,商品名、支払者（複数可）、支払額（分割可）、カテゴリ、単価、数量、税抜、税込、割引、割引理由、店舗、日付、時間、支払方法、割り勘分担（比率または金額）、メモ、登録レシート（任意）,UC-SP-01,登録種別は手動、各フィールドは繰り返し入力対応
SC-011,支出項目編集画面（手動）,上記と同様。既存値が入力済のフォームを編集可能,UC-SP-03,更新専用。割り勘や支払者の修正が可能。モーダルとして起動されるケースもあり
SC-012,支出項目削除確認ダイアログ,「この支出項目を削除しますか？」メッセージ、削除／キャンセルボタン,UC-SP-04,一覧または詳細から削除時に表示されるモーダル
SC-013,レシート紐づけ／解除画面,支出項目一覧、紐づけ済／未紐づけステータス、紐づけるレシート選択欄、紐づけ実行／解除ボタン,UC-SP-05,一覧画面や詳細画面から遷移可能。モーダルとしても利用可能
SC-014,貸し借り一覧画面,相手ユーザー名、貸額、借額、清算状況アイコン、清算入力ボタン、差額合計、フィルタ（貸し／借り）,UC-SR-01,行クリックで清算モーダル表示、清算ボタンは一括清算用。差額は画面上部固定
SC-015,清算入力モーダル,支払相手、支払額、支払方法、支払日、備考欄、実行ボタン、キャンセルボタン,UC-ST-02,貸し借り一覧画面の各行クリックで起動
SC-016,清算確認画面,送信者名、支払額、支払日、支払方法、備考、確認／未確認トグルボタン,UC-ST-03,通知クリックで遷移。未確認状態では警告アイコン表示
SC-017,通知一覧画面,通知種別（レシート／支出項目／清算／プロジェクト／カテゴリ）、本文、既読／未読、日時、詳細リンク,UC-NT-01〜UC-NT-15,通知クリックで該当画面に遷移。未読は強調表示
SC-018,通知設定画面,通知種別一覧、ON/OFFスイッチ（面上通知／メール通知）、プロジェクト別設定（オプション）,UC-NT-16,プロジェクト招待通知のメール通知はOFF不可。設定はローカル保存→明示的保存
SC-019,カテゴリ一覧・設定画面,カテゴリ名、割り勘ルール（等分、比率）、編集ボタン、削除ボタン、新規追加ボタン,"UC-CT-01, UC-CT-02, UC-CT-03",各カテゴリは編集可能。割り勘ルールは比率を個別入力可能。追加はモーダル
SC-020,ユーザー情報設定画面,メールアドレス、パスワード、ニックネーム、更新ボタン、退会ボタン,"UC-UM-04, UC-UM-05",パスワード変更には旧パスワード認証。退会は確認ダイアログあり
SC-021,ログイン画面,メールアドレス入力欄、パスワード入力欄、ログインボタン、エラーメッセージ表示欄,UC-UM-02,Cognito Hosted UIを利用。未登録ユーザーには登録リンク表示
SC-022,ユーザー登録画面,メールアドレス、パスワード、ニックネーム、登録ボタン、エラーメッセージ欄,UC-UM-01,Cognito Hosted UIを利用。
SC-023,ログアウト確認画面,「ログアウトしますか？」メッセージ、ログアウトボタン、キャンセルボタン,UC-UM-03,メニューからの操作時にモーダル表示
SC-024,データエクスポート画面,期間フィルタ、カテゴリ／プロジェクト選択、形式選択（CSV/PDF）、出力プレビューボタン、エクスポートボタン,UC-EX-01,出力プレビューで項目確認後、確定出力。支出と清算を個別／一括出力可能
